subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,gamma,eta,colsample_bytree,train_rmsle,valid_rmsle,test_rmsle,train_r2score,valid_r2score,test_r2score
0.8,100.0,100.0,100,9,0.1,0.05,0.9,0.2337168633608864,0.23708130229226818,0.2361574705090065,0.8317266554659705,0.8267021311650868,0.8280219902876225
0.9,10.0,100.0,10,5,1.0,0.5,0.3,0.2547327047649627,0.25623586871458703,0.25556244355680185,0.8001037521153053,0.7975683286662149,0.798598080344765
0.7,1.0,0.01,50,9,0.1,0.1,0.3,0.19738105756792845,0.22744209291690656,0.22675300352799527,0.8799820590752682,0.8405074874419827,0.841446571149428
0.7,0.1,10.0,10,13,1.0,0.01,0.7,0.23395916896114993,0.2382131003956644,0.23745474353830176,0.831377560333175,0.8250435746475169,0.8261273628397101
0.7,0.1,5.0,20,11,5.0,0.01,0.3,0.25073787933800445,0.2522665076385071,0.2518408285996626,0.8063243040559778,0.8037915064354224,0.8044211802843914
0.7,0.0,0.01,20,11,1.0,0.01,0.1,0.24507745185341134,0.2480357069252775,0.24740990621799352,0.8149700886476945,0.8103176046852613,0.8112427197627727
0.7,0.01,0.1,20,13,1.0,0.01,0.1,0.24400373626257263,0.24725374161318955,0.24661871710827316,0.8165878164384333,0.8115117170018235,0.8124480386295904
0.8,1.0,10.0,1,11,1.0,0.1,0.5,0.23615039954303477,0.23999632480266006,0.23943774915588778,0.8282041779993133,0.8224143799675977,0.8232111852241959
0.7,100.0,10.0,100,5,0.5,0.05,0.7,0.23978512874478086,0.242010727888651,0.24093317874556608,0.8228750590466155,0.8194207481604091,0.8209959888729794
0.7,1.0,5.0,10,7,0.5,0.5,0.5,0.2360607425509214,0.24103544360098592,0.24035306633839595,0.828334601431074,0.8208732560014361,0.821856953176908
0.7,10.0,10.0,1,9,0.5,0.5,0.3,0.2404545424712724,0.24611541327053704,0.2448682568065727,0.8218847109418057,0.81324327944288,0.8151010176750011
0.7,0.1,0.01,20,7,0.5,0.1,0.3,0.2349288469771508,0.23917349083554287,0.23844546975521014,0.8299769029625175,0.8236300068000405,0.8246734475732661
0.7,0.01,5.0,50,7,0.5,0.5,0.7,0.23516452413100986,0.24037073519876595,0.23977509931807842,0.8296356025286789,0.8218598567535287,0.8227126694342101
0.9,100.0,1.0,2,5,0.1,0.01,0.9,0.2402135815759782,0.24272402498823678,0.24153815362111838,0.8222415128094424,0.8183547088268468,0.8200959145053159
0.7,1.0,100.0,1,3,2.0,0.05,0.5,0.2621194220109668,0.26261414386237003,0.2622435935520982,0.7883425148537597,0.7873649572643396,0.7879299608085174
0.9,10.0,10.0,100,13,5.0,0.5,0.9,0.25002557474869574,0.25231049242234405,0.2516020087572737,0.8074231418724205,0.8037230792737663,0.8047919379299034
0.7,1.0,0.01,1,11,5.0,0.3,0.5,0.24955503097245413,0.25202213748263813,0.251452883053543,0.8081473123770818,0.8041714560155001,0.8050232708417224
0.8,100.0,0.1,100,5,0.5,0.05,0.3,0.24227920346543177,0.24446783427358604,0.24355965143456326,0.8191712406180072,0.8157353341639831,0.8170719817646527
0.7,10.0,0.1,10,3,0.25,0.01,0.7,0.2580949000937215,0.2587743460675588,0.25804025612524434,0.7947921007321217,0.7935375611514925,0.7946737524164397
0.8,100.0,0.01,1,11,1.0,0.1,0.9,0.23374740735017138,0.23846286284625923,0.237693259092826,0.8316826699784914,0.824676504544794,0.8257778886102225
0.7,1.0,100.0,2,3,0.25,0.01,0.5,0.2604939566827343,0.26104146615960566,0.26061309426103885,0.7909594530249497,0.7899040823935777,0.7905588532846133
0.7,5.0,0.01,20,13,0.25,0.05,0.1,0.22424894901697545,0.23661832343244368,0.23573682583121372,0.8450840762497654,0.8273783119360253,0.8286341005606164
0.9,5.0,5.0,5,3,0.25,0.3,0.3,0.24337838434329664,0.24528988296900892,0.24429647796708676,0.8175267379920279,0.8144940321898712,0.8159635050777508
0.8,0.1,10.0,2,13,0.1,0.1,0.3,0.2139162429551769,0.22835334274783292,0.2279354835703513,0.8590312810293474,0.8392269094133699,0.839788598663667
0.8,1.0,0.1,50,7,0.25,0.3,0.1,0.23426267038050733,0.24106915979576712,0.23987489359249337,0.8309397886950769,0.8208231397653872,0.8225650649304729
0.7,0.01,10.0,100,11,0.25,0.1,0.5,0.22384089642302152,0.23114666304268522,0.23065174014613463,0.8456473460582044,0.8352695556841627,0.8359474396732974
0.7,100.0,100.0,100,9,1.0,0.3,0.1,0.25585285205493863,0.2570867422718621,0.2565946905399636,0.7983418617266688,0.7962216808366932,0.7969678221549339
0.7,10.0,5.0,5,3,1.0,0.1,0.7,0.25244024502462853,0.2534339721249763,0.2525555409198879,0.8036854836292108,0.8019712370799643,0.8033095182795802
0.9,0.1,0.0,50,13,5.0,0.3,0.7,0.24692019503956017,0.24986544789910983,0.24893867111107526,0.8121771392452212,0.8075087364900455,0.8089028212355389
0.8,100.0,0.1,10,3,2.0,0.3,0.1,0.26014086667467023,0.26084737417825227,0.26023015203701005,0.7915257625539301,0.7902163911905516,0.7911739024507921
0.8,0.0,1.0,2,13,5.0,0.1,0.5,0.24642753221669977,0.2487705642978894,0.24850868927294628,0.8129258915136878,0.8091919926225041,0.8095624001815683
0.8,0.01,0.0,2,13,0.1,0.3,0.3,0.16719611588033487,0.24664915824106354,0.24582152747783068,0.9138832568850184,0.8124323708827751,0.8136585941735994
0.8,5.0,10.0,1,9,1.0,0.3,0.7,0.23906522547371947,0.24245852064480813,0.2414485886637418,0.8239370215639064,0.8187518778900912,0.820229310526206
0.7,0.0,0.01,20,5,0.5,0.01,0.1,0.2566376817083106,0.2578743339401426,0.25728184700683643,0.7971027899066196,0.794971208379154,0.7958789322562905
0.7,10.0,0.1,20,13,2.0,0.01,0.7,0.23650692148419705,0.24060800892154013,0.2398896398820189,0.8276850578573076,0.8215079933154179,0.8225432486635842
0.7,10.0,5.0,20,13,0.5,0.3,0.1,0.23978730267171122,0.24425254194845614,0.24327281946324109,0.8228718473509888,0.8160597392154187,0.817502584353643
0.7,0.01,0.01,5,3,0.5,0.01,0.1,0.26901746542139265,0.2694578058242164,0.269102583154442,0.7770557983762539,0.7761381174209249,0.7766914893697737
0.7,0.0,0.1,5,11,0.1,0.3,0.3,0.1902271465704141,0.24085229298528402,0.24006690669196626,0.888524298147792,0.8211453712448045,0.8222808878972064
0.9,0.0,100.0,50,11,1.0,0.3,0.1,0.25305329728411086,0.25468151501988184,0.25395579435712023,0.8027308244831737,0.8000168232239727,0.8011224348101328
0.9,10.0,100.0,50,11,2.0,0.1,0.3,0.24957884804538052,0.2511683536053596,0.25071674486830686,0.8081106904946814,0.8054960384409828,0.8061632038521613
0.9,10.0,5.0,100,11,5.0,0.1,0.9,0.24484354809470724,0.2472745608608455,0.24656046520785507,0.8153231079762226,0.8114799735027737,0.812536628563231
0.7,10.0,0.1,1,13,5.0,0.05,0.7,0.24547487150439248,0.24776810386918677,0.24707972607885464,0.8143695099789224,0.810726676486371,0.8117461944935558
0.8,10.0,5.0,20,9,0.1,0.5,0.7,0.20443828293958552,0.23356069661165801,0.23299705699727205,0.8712463119955168,0.8318107873907876,0.8325942339160843
0.8,0.01,1.0,50,3,2.0,0.1,0.3,0.25798439685022745,0.2588113282379146,0.2580803998869906,0.7949677824992624,0.7934785446778587,0.7946098615395494
0.8,10.0,100.0,5,11,0.5,0.05,0.9,0.239571830343604,0.24237998369679467,0.2413819151564697,0.8231900382390143,0.8188692783333861,0.8203285804166769
0.8,0.0,10.0,20,13,2.0,0.01,0.1,0.25141414544548035,0.2530836003891633,0.2525435045110288,0.8052781682450609,0.8025184069755714,0.803328265764855
0.9,0.0,100.0,1,13,0.1,0.01,0.5,0.2329536715677439,0.23689452520596757,0.236271881809803,0.8328238390493707,0.8269750782140886,0.8278553134170412
0.9,1.0,0.1,1,13,1.0,0.1,0.9,0.22590448495453253,0.23577890860532483,0.2350618119250275,0.8427882743627947,0.8286009068759776,0.8296140811175416
